Temperatura (°C),Hidrogeno,pH,ORP,Conductividad,Metano 
17.06703125,2.421875,2.5805664,1.0131836,1.4233398,2.0483398
17.11585938,2.3999023,2.5878906,1.0131836,1.4233398,2.1923828
17.26234375,2.6098633,2.5878906,1.0131836,1.4233398,2.4194336
17.26234375,2.7612305,2.5952148,1.0131836,1.4208984,2.5708008
17.1646875,2.9125977,2.6000977,1.0131836,1.4208984,2.7294922
17.26234375,3.1323242,2.5927734,1.0131836,1.4208984,2.9736328
17.45765625,3.1713867,2.590332,1.0131836,1.4233398,3.0078125
17.40882813,3.1835938,2.5878906,1.015625,1.4208984,3.010254
17.40882813,3.2763672,2.5878906,1.0083008,1.4208984,3.1201172
17.36,3.2714844,2.5854492,1.015625,1.4233398,3.0517578
17.40882813,3.125,2.5878906,1.015625,1.4233398,2.866211
17.26234375,3.2055664,2.590332,1.0131836,1.4208984,2.9760742
17.31117188,3.383789,2.590332,1.0083008,1.4208984,3.2104492
17.40882813,3.4814453,2.590332,1.0107422,1.4208984,3.3911133
17.45765625,3.4765625,2.5878906,1.0107422,1.4233398,3.3666992
17.36,3.4863281,2.5878906,1.0058594,1.4233398,3.4057617
17.40882813,3.515625,2.5878906,1.0107422,1.4208984,3.4326172
17.40882813,3.5620117,2.5952148,1.0107422,1.4208984,3.491211
17.40882813,3.6035156,2.5878906,1.0107422,1.4208984,3.5302734
17.40882813,3.6425781,2.5952148,1.0083008,1.4233398,3.5791016
17.5553125,3.6401367,2.5927734,1.015625,1.4233398,3.5717773
17.60414063,3.684082,2.5927734,1.0058594,1.4233398,3.5742188
17.50648438,3.6523438,2.5952148,0.99853516,1.4208984,3.5791016
17.5553125,3.647461,2.6074219,0.99121094,1.4208984,3.5766602
17.5553125,3.6499023,2.6098633,0.95458984,1.4208984,3.581543
17.65296875,3.6425781,2.6220703,0.9301758,1.4208984,3.5742188
17.79945313,3.6523438,2.6245117,0.92041016,1.4233398,3.5742188
17.79945313,3.635254,2.6269531,0.91796875,1.4233398,3.5620117
17.750625,3.6230469,2.6293945,0.91796875,1.4208984,3.5498047
17.750625,3.6425781,2.6293945,0.91308594,1.4208984,3.5424805
17.65296875,3.5864258,2.6220703,0.91308594,1.4208984,3.5009766
17.750625,3.5986328,2.6245117,0.91552734,1.4208984,3.5205078
17.750625,3.5986328,2.6171875,0.91308594,1.4208984,3.5205078
17.65296875,3.5668945,2.6171875,0.91552734,1.4233398,3.479004
17.70179688,3.6035156,2.6220703,0.92041016,1.4233398,3.5180664
17.5553125,3.6108398,2.6220703,0.92285156,1.4233398,3.5205078
17.750625,3.5986328,2.619629,0.92529297,1.4111328,3.5107422
17.79945313,3.5644531,2.619629,0.92529297,1.4233398,3.4716797
17.70179688,3.5302734,2.6171875,0.9301758,1.4233398,3.4375
17.65296875,3.5449219,2.614746,0.92529297,1.4208984,3.4521484
17.70179688,3.5620117,2.6123047,0.9326172,1.4208984,3.4765625
17.5553125,3.5913086,2.6171875,0.9350586,1.4233398,3.5009766
17.40882813,3.5961914,2.6123047,0.9375,1.4233398,3.5083008
17.65296875,3.6108398,2.6171875,0.9399414,1.4208984,3.503418
17.70179688,3.4765625,2.6123047,0.9399414,1.4233398,3.3251953
17.750625,3.2714844,2.6171875,0.9423828,1.4208984,3.059082
17.750625,3.1860352,2.6123047,0.9472656,1.4233398,2.9760742
17.89710938,3.1982422,2.6123047,0.94970703,1.4208984,3.022461
17.84828125,2.5024414,2.602539,0.94970703,1.4233398,2.224121
17.99476563,2.6123047,2.5927734,0.95458984,1.4208984,2.385254
18.23890625,2.6049805,2.5927734,0.95947266,1.4233398,2.3632812
18.19007813,2.668457,2.5927734,0.9667969,1.4208984,2.4438477
18.19007813,2.8125,2.5830078,0.9692383,1.4208984,2.5512695
18.23890625,2.9101562,2.5756836,0.9838867,1.4208984,2.680664
18.23890625,2.734375,2.5683594,1.0083008,1.418457,2.4414062
18.23890625,2.5732422,2.5683594,1.0083008,1.4233398,2.2875977
18.28773438,2.487793,2.5585938,1.0180664,1.4233398,2.2021484
18.38539063,2.5024414,2.5585938,1.0229492,1.4208984,2.2314453
18.38539063,2.5048828,2.5488281,1.0327148,1.4233398,2.229004
18.43421875,2.4682617,2.553711,1.0253906,1.4233398,2.2363281
18.38539063,2.5756836,2.553711,1.0229492,1.4208984,2.3632812
18.43421875,3.0566406,2.5634766,1.0253906,1.4233398,2.902832
18.38539063,3.3740234,2.5585938,1.0253906,1.4208984,3.2861328
18.38539063,3.6108398,2.5610352,1.0229492,1.4208984,3.5009766
18.48304688,3.659668,2.578125,1.0253906,1.4208984,3.5888672
18.58070313,3.7182617,2.5634766,1.0253906,1.4233398,3.6669922
18.48304688,3.737793,2.565918,1.0253906,1.4208984,3.6914062
18.67835938,3.762207,2.5683594,1.0253906,1.4233398,3.7158203
18.62953125,3.7646484,2.5634766,1.0229492,1.4233398,3.7060547
18.531875,3.737793,2.5683594,1.0253906,1.4233398,3.684082
18.62953125,3.7695312,2.5610352,1.0253906,1.4233398,3.7158203
18.58070313,3.7768555,2.5585938,1.0229492,1.4233398,3.7231445
18.62953125,3.7719727,2.5585938,1.0253906,1.4208984,3.7158203
18.58070313,3.7670898,2.5585938,1.0253906,1.4208984,3.708496
18.62953125,3.774414,2.5610352,1.0253906,1.4208984,3.7158203
18.58070313,3.7695312,2.5634766,1.027832,1.4208984,3.708496
18.48304688,3.7646484,2.5634766,1.027832,1.4208984,3.7011719
18.38539063,3.7719727,2.5634766,1.027832,1.4208984,3.7109375
18.58070313,3.7695312,2.5634766,1.027832,1.4208984,3.7060547
18.48304688,3.7597656,2.565918,1.027832,1.4208984,3.6914062
18.531875,3.762207,2.5610352,1.027832,1.4208984,3.6938477
18.43421875,3.7573242,2.5585938,1.027832,1.4208984,3.6914062
18.38539063,3.7182617,2.5561523,1.027832,1.4233398,3.647461
18.38539063,3.708496,2.5585938,1.027832,1.4233398,3.6328125
18.48304688,3.7158203,2.5610352,1.0327148,1.4208984,3.647461
18.38539063,3.7207031,2.565918,1.0327148,1.4233398,3.6499023
18.3365625,3.708496,2.565918,1.0375977,1.4233398,3.6401367
18.43421875,3.6938477,2.5683594,1.0351562,1.4233398,3.6279297
18.19007813,3.696289,2.5610352,1.0327148,1.4208984,3.6328125
18.19007813,3.7036133,2.5634766,1.0327148,1.4233398,3.6254883
18.28773438,3.7158203,2.5610352,1.0327148,1.4208984,3.6401367
18.19007813,2.458496,2.5585938,1.027832,1.4208984,2.1142578
18.48304688,2.6635742,2.5585938,1.027832,1.4233398,2.3950195
18.38539063,3.1054688,2.5610352,1.027832,1.4208984,2.8857422
18.58070313,3.3813477,2.5561523,1.0253906,1.4208984,3.2788086
18.531875,3.4716797,2.5585938,1.0253906,1.4208984,3.3447266
18.7271875,3.6889648,2.5634766,1.0229492,1.4208984,3.569336
18.87367188,3.7329102,2.5585938,1.0205078,1.4233398,3.6401367
18.87367188,3.7280273,2.5585938,1.0205078,1.4208984,3.6645508
18.97132813,3.6645508,2.5585938,1.0180664,1.4208984,3.5595703
18.97132813,3.59375,2.5585938,1.015625,1.418457,3.5205078
18.9225,3.449707,2.5610352,1.0083008,1.4208984,3.2983398
18.9225,3.3569336,2.5708008,0.9692383,1.4233398,3.1567383
19.06898438,3.3276367,2.5952148,0.9350586,1.4208984,3.1640625
18.97132813,3.2104492,2.5927734,0.9301758,1.4208984,2.9858398
18.97132813,3.2055664,2.5878906,0.9277344,1.4208984,3.022461
19.02015625,3.4204102,2.5927734,0.9326172,1.4208984,3.2836914
19.02015625,3.6132812,2.590332,0.9301758,1.4208984,3.5620117
18.97132813,3.696289,2.5927734,0.9301758,1.4233398,3.6425781
18.97132813,3.7280273,2.5878906,0.9277344,1.4233398,3.6791992
19.1178125,3.737793,2.602539,0.9326172,1.4233398,3.6791992
19.21546875,3.7646484,2.6000977,0.9350586,1.4208984,3.708496
19.06898438,3.7890625,2.602539,0.9350586,1.4208984,3.7353516
19.06898438,3.7939453,2.602539,0.9350586,1.4208984,3.7402344
19.06898438,3.7963867,2.6000977,0.9399414,1.4208984,3.7426758
19.1178125,3.7939453,2.6000977,0.9399414,1.4208984,3.7402344
19.26429688,3.7963867,2.5976562,0.9423828,1.4208984,3.7451172
19.16664063,3.8085938,2.5976562,0.9472656,1.4208984,3.7548828
19.1178125,3.8134766,2.5952148,0.94970703,1.4208984,3.7573242
19.313125,3.803711,2.5952148,0.95703125,1.4233398,3.7475586
19.16664063,3.7963867,2.5830078,0.9667969,1.4233398,3.737793
19.1178125,3.8012695,2.578125,0.9790039,1.4208984,3.7402344
19.21546875,3.8061523,2.5708008,1.0083008,1.418457,3.7475586
19.21546875,3.8012695,2.5585938,1.0229492,1.4208984,3.7426758
19.1178125,3.7890625,2.5561523,1.027832,1.4208984,3.7304688
19.16664063,3.786621,2.553711,1.0302734,1.4208984,3.725586
19.1178125,3.7963867,2.5488281,1.0302734,1.4233398,3.737793
19.1178125,3.7817383,2.553711,1.0327148,1.4208984,3.7158203
19.1178125,3.7792969,2.5561523,1.0327148,1.4233398,3.713379
18.97132813,3.7768555,2.553711,1.0375977,1.4233398,3.713379
19.06898438,3.7573242,2.5585938,1.0351562,1.4208984,3.6938477
18.9225,3.7353516,2.5561523,1.0351562,1.4208984,3.6669922
19.06898438,3.7231445,2.553711,1.0351562,1.4208984,3.6523438
18.9225,3.7329102,2.5561523,1.0351562,1.4208984,3.6621094
18.87367188,3.7182617,2.553711,1.0351562,1.4208984,3.6450195
18.82484375,3.6987305,2.5488281,1.0375977,1.4208984,3.6108398
18.7271875,3.5375977,2.5488281,1.0375977,1.4208984,3.4326172
18.7271875,3.4350586,2.5561523,1.0375977,1.4208984,3.3398438
18.7271875,3.5913086,2.553711,1.0400391,1.4233398,3.5205078
18.58070313,3.5961914,2.5561523,1.0400391,1.4208984,3.527832
18.62953125,3.647461,2.553711,1.0400391,1.4208984,3.5595703
18.62953125,3.6621094,2.5488281,1.0375977,1.4208984,3.5791016
18.82484375,3.6865234,2.5561523,1.0351562,1.4208984,3.6083984
18.77601563,1.796875,2.5585938,1.0473633,1.4233398,1.8554688
18.9225,2.133789,2.5610352,1.0351562,1.4233398,1.9165039
19.1178125,2.1679688,2.5561523,1.0327148,1.4233398,1.9628906
19.21546875,2.211914,2.5610352,1.0327148,1.4233398,2.0117188
19.26429688,2.3144531,2.565918,1.0302734,1.4208984,2.0922852
19.313125,2.5805664,2.553711,1.0351562,1.4208984,2.2729492
19.36195313,3.0517578,2.5610352,1.0351562,1.4257812,2.7001953
19.55726563,3.503418,2.5610352,1.0351562,1.4208984,3.2910156
19.70375,3.7207031,2.5683594,1.0351562,1.4208984,3.5009766
19.85023438,3.7207031,2.5610352,1.0375977,1.4208984,3.5546875
19.70375,3.7597656,2.5610352,1.0351562,1.4233398,3.6572266
19.65492188,3.774414,2.5585938,1.0375977,1.4233398,3.6889648
19.85023438,3.7646484,2.5610352,1.0449219,1.418457,3.6889648
19.65492188,3.7792969,2.5585938,1.0375977,1.4208984,3.6987305
19.99671875,3.7841797,2.5585938,1.0351562,1.4233398,3.708496
19.85023438,3.7841797,2.5610352,1.0375977,1.4233398,3.7109375
19.75257813,3.7719727,2.5610352,1.0375977,1.4233398,3.6987305
19.8990625,3.7890625,2.5585938,1.0375977,1.4208984,3.7158203
19.94789063,3.786621,2.5585938,1.0400391,1.4208984,3.713379
19.99671875,3.7939453,2.5634766,1.0400391,1.4208984,3.7182617
19.94789063,3.7792969,2.5610352,1.0400391,1.4233398,3.7036133
19.94789063,3.786621,2.5610352,1.0375977,1.4208984,3.713379
19.94789063,3.7841797,2.5634766,1.0400391,1.4208984,3.7109375
19.75257813,3.7768555,2.5585938,1.0400391,1.4233398,3.7011719
19.94789063,3.7695312,2.5585938,1.0400391,1.4208984,3.6938477
19.94789063,3.774414,2.5561523,1.0375977,1.4208984,3.6987305
19.85023438,3.7841797,2.5561523,1.0400391,1.4208984,3.708496
19.99671875,3.7719727,2.553711,1.0400391,1.4233398,3.6914062
19.8990625,3.7670898,2.5488281,1.0400391,1.4233398,3.6889648
19.94789063,3.7597656,2.553711,1.0400391,1.4208984,3.684082
19.8990625,3.774414,2.553711,1.0400391,1.4208984,3.6938477
19.94789063,3.762207,2.553711,1.0424805,1.4208984,3.6743164
19.85023438,3.7548828,2.5439453,1.0424805,1.4233398,3.671875
19.75257813,3.7548828,2.5463867,1.0424805,1.4208984,3.6694336
19.75257813,3.7451172,2.5463867,1.0424805,1.4208984,3.6621094
19.75257813,3.7231445,2.5463867,1.0449219,1.4233398,3.6254883
19.70375,3.7182617,2.5488281,1.0473633,1.4233398,3.6328125
19.60609375,3.7011719,2.5439453,1.0400391,1.4208984,3.618164
19.60609375,3.6938477,2.5390625,1.0375977,1.4233398,3.605957
19.60609375,3.6987305,2.5390625,1.0449219,1.4233398,3.569336
19.5084375,3.6865234,2.541504,1.0473633,1.4208984,3.5888672
19.5084375,3.6791992,2.5463867,1.0473633,1.4233398,3.5839844
19.41078125,3.6743164,2.536621,1.0473633,1.4233398,3.569336
19.41078125,3.6157227,2.541504,1.0473633,1.4208984,3.491211
19.36195313,3.6230469,2.5439453,1.0473633,1.4208984,3.5083008
19.26429688,2.3535156,2.5439453,1.0498047,1.4208984,2.0117188
19.1178125,2.5024414,2.5341797,1.0498047,1.4233398,2.199707
19.16664063,2.8320312,2.5390625,1.0498047,1.4208984,2.5512695
19.26429688,3.2519531,2.5390625,1.0522461,1.4208984,3.0249023
19.1178125,3.540039,2.5439453,1.0473633,1.4208984,3.4033203
19.02015625,3.6279297,2.5463867,1.0522461,1.4208984,3.5302734
18.97132813,3.6132812,2.536621,1.0522461,1.4208984,3.5107422
18.87367188,3.569336,2.5439453,1.0522461,1.4233398,3.4594727
18.77601563,3.5766602,2.5463867,1.0571289,1.4233398,3.4716797
19.02015625,3.605957,2.5390625,1.0546875,1.4208984,3.5058594
18.9225,3.5839844,2.536621,1.0522461,1.4208984,3.4838867
18.97132813,3.5083008,2.541504,1.0571289,1.4208984,3.3862305
18.87367188,3.5131836,2.541504,1.0473633,1.4208984,3.395996
18.97132813,3.5351562,2.5390625,1.0546875,1.4233398,3.4277344
18.9225,3.5131836,2.541504,1.0571289,1.4208984,3.4106445
18.77601563,3.5131836,2.5439453,1.0571289,1.4233398,3.4228516
18.62953125,3.4765625,2.5463867,1.0546875,1.418457,3.3642578
18.77601563,3.4716797,2.5463867,1.0400391,1.4208984,3.3691406
18.77601563,3.5009766,2.5561523,1.0253906,1.4208984,3.4033203
18.77601563,3.4838867,2.5634766,1.015625,1.4331055,3.3813477
18.87367188,3.449707,2.565918,0.99853516,1.4233398,3.3398438
18.82484375,3.4594727,2.5683594,0.9838867,1.4233398,3.3666992
18.7271875,3.4814453,2.578125,0.95458984,1.4208984,3.3886719
18.82484375,3.4399414,2.5952148,0.9399414,1.4208984,3.334961
18.87367188,3.4594727,2.6000977,0.9326172,1.4208984,3.3642578
18.77601563,3.4838867,2.5976562,0.9301758,1.4208984,3.400879
18.77601563,3.4863281,2.5976562,0.9277344,1.4208984,3.4033203
18.77601563,3.4521484,2.6000977,0.9301758,1.4233398,3.3642578
18.9225,3.4667969,2.5976562,0.9301758,1.4233398,3.3740234
18.87367188,3.4936523,2.5976562,0.9301758,1.4208984,3.4106445
18.77601563,3.503418,2.5952148,0.9301758,1.4233398,3.4033203
18.82484375,3.4399414,2.6000977,0.9326172,1.4208984,3.3447266
18.82484375,3.4643555,2.5976562,0.9326172,1.4208984,3.3740234
18.77601563,3.4814453,2.5976562,0.9350586,1.4208984,3.4033203
18.77601563,3.474121,2.5952148,0.9350586,1.4208984,3.383789
18.82484375,3.4082031,2.5976562,0.9375,1.4233398,3.3154297
18.82484375,3.4594727,2.5976562,0.9399414,1.4208984,3.3789062
18.9225,3.4399414,2.590332,0.9399414,1.4208984,3.359375
18.77601563,3.4204102,2.5878906,0.9399414,1.4208984,3.3447266
18.82484375,3.3911133,2.5952148,0.9472656,1.4208984,3.3032227
18.87367188,3.4155273,2.6049805,0.95458984,1.4208984,3.3374023
18.87367188,3.4375,2.6000977,0.95214844,1.4208984,3.3447266
18.97132813,3.3447266,2.6000977,0.95214844,1.4208984,3.2617188
18.82484375,3.3422852,2.5952148,0.95214844,1.4233398,3.2617188
18.87367188,3.3862305,2.5976562,0.95458984,1.4208984,3.293457
18.7271875,3.3862305,2.5927734,0.95703125,1.4233398,3.2885742
18.82484375,3.3325195,2.5927734,0.95703125,1.4208984,3.227539
18.7271875,3.3691406,2.5952148,0.95947266,1.4208984,3.2739258
18.7271875,3.3789062,2.5927734,0.96191406,1.4208984,3.2885742
18.62953125,3.3789062,2.590332,0.9692383,1.4208984,3.2861328
18.77601563,3.3642578,2.5878906,0.9741211,1.4233398,3.2666016
18.62953125,3.1396484,2.5854492,0.9838867,1.4208984,2.9589844
18.67835938,3.2617188,2.578125,1.003418,1.4208984,3.149414
18.58070313,3.2641602,2.5610352,1.0424805,1.4233398,3.149414
18.58070313,2.3242188,2.5512695,1.0644531,1.4233398,1.9287109
18.531875,1.8383789,2.5463867,1.0668945,1.4233398,1.6308594
18.67835938,1.8481445,2.5439453,1.0668945,1.4208984,1.6040039
18.48304688,1.9555664,2.5463867,1.0644531,1.4233398,1.6943359
18.38539063,2.265625,2.5463867,1.0644531,1.4208984,1.9775391
18.43421875,2.65625,2.536621,1.0717773,1.4233398,2.3510742
18.48304688,3.1274414,2.541504,1.0644531,1.4233398,2.9370117
18.3365625,3.425293,2.5390625,1.0644531,1.4208984,3.2666016
18.43421875,3.4106445,2.5463867,1.0620117,1.4233398,3.190918
18.48304688,3.5546875,2.553711,1.0644531,1.4208984,3.3666992
18.58070313,3.5473633,2.5585938,1.0644531,1.4208984,3.400879
18.48304688,3.5473633,2.5439453,1.0595703,1.4208984,3.425293
18.531875,3.491211,2.541504,1.0595703,1.4208984,3.3740234
18.531875,3.5351562,2.5463867,1.0595703,1.4208984,3.4350586
18.58070313,3.557129,2.5463867,1.0595703,1.4233398,3.4716797
18.62953125,3.581543,2.5439453,1.0595703,1.4208984,3.4692383
18.67835938,3.552246,2.5463867,1.0424805,1.4233398,3.4472656
18.77601563,3.5742188,2.5463867,1.0620117,1.4208984,3.474121
18.77601563,3.6083984,2.5463867,1.0595703,1.4208984,3.5327148
18.7271875,3.5839844,2.5488281,1.0595703,1.4208984,3.5131836
18.77601563,3.5546875,2.541504,1.0595703,1.4208984,3.4765625
18.87367188,3.6254883,2.536621,1.0595703,1.4208984,3.5375977
18.87367188,3.5961914,2.5390625,1.0620117,1.4208984,3.5205078
18.97132813,3.6206055,2.5463867,1.0546875,1.4208984,3.527832
18.97132813,3.5961914,2.5390625,1.0595703,1.4233398,3.4985352
18.97132813,3.6230469,2.5390625,1.0620117,1.4233398,3.5229492
18.9225,3.6401367,2.541504,1.0620117,1.4208984,3.540039
18.9225,3.5498047,2.5488281,1.0644531,1.4208984,3.4423828
19.02015625,3.5986328,2.5488281,1.0644531,1.4233398,3.5009766
19.02015625,3.605957,2.5488281,1.0644531,1.4208984,3.503418
18.97132813,3.5668945,2.5463867,1.0644531,1.4208984,3.4716797
19.06898438,3.5131836,2.5512695,1.0644531,1.4208984,3.4106445
19.02015625,3.569336,2.5512695,1.0644531,1.4233398,3.4667969
19.16664063,3.5253906,2.553711,1.0668945,1.4233398,3.4448242
19.02015625,3.527832,2.5439453,1.0668945,1.4208984,3.4423828
18.97132813,3.4594727,2.5488281,1.0644531,1.4208984,3.3691406
18.9225,3.5424805,2.5488281,1.0668945,1.4208984,3.4375
18.87367188,3.4936523,2.5585938,1.0668945,1.418457,3.413086
18.87367188,3.5009766,2.541504,1.0668945,1.4208984,3.4228516
18.9225,3.4375,2.5439453,1.0668945,1.4233398,3.3447266
18.9225,3.5131836,2.5390625,1.0668945,1.4208984,3.4179688
18.77601563,3.503418,2.5439453,1.0668945,1.4208984,3.4106445
18.87367188,3.5131836,2.5390625,1.0668945,1.4208984,3.4399414
18.87367188,3.503418,2.541504,1.0668945,1.4208984,3.4301758
18.97132813,3.5644531,2.5390625,1.0644531,1.4208984,3.4814453
18.97132813,3.5351562,2.5439453,1.0620117,1.4233398,3.4643555
18.97132813,3.4375,2.5341797,1.0644531,1.4208984,3.3300781
19.06898438,3.3520508,2.536621,1.0668945,1.4208984,3.2177734
19.16664063,2.4780273,2.5292969,1.0644531,1.4208984,2.175293
19.26429688,2.7172852,2.5292969,1.0595703,1.4208984,2.4389648
19.16664063,3.0761719,2.536621,1.0620117,1.4233398,2.878418
19.26429688,3.3081055,2.536621,1.0644531,1.4160156,3.149414
19.16664063,3.395996,2.5341797,1.0644531,1.4208984,3.2617188
19.313125,3.3886719,2.536621,1.0644531,1.4208984,3.2763672
19.313125,3.4375,2.5390625,1.0668945,1.4208984,3.3276367
19.16664063,3.461914,2.5341797,1.0644531,1.4233398,3.3447266
19.26429688,3.4838867,2.536621,1.0644531,1.4208984,3.3618164
19.313125,3.359375,2.536621,1.0644531,1.4208984,3.2177734
19.26429688,3.3422852,2.5390625,1.0668945,1.4233398,3.1298828
19.36195313,3.1396484,2.5341797,1.0644531,1.4208984,2.9418945
19.21546875,3.2885742,2.5390625,1.0644531,1.4233398,3.1518555
19.45960938,3.5302734,2.5390625,1.0668945,1.4208984,3.4545898
