Entidad ,Ene,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic 
Aguascalientes ,12.82,14.97,17.93,19.58,21.55,21.80,20.40,20.31,19.53,17.94,15.49,13.47
Baja California ,14.40,13.50,15.20,18.33,20.50,23.98,26.60,27.93,26.13,21.79,16.60,13.45
Baja California Sur ,17.88,18.11,19.63,21.72,23.52,26.20,28.72,29.32,28.77,25.96,21.80,18.31
Campeche ,23.24,25.26,26.76,29.22,30.06,28.96,28.74,28.52,28.22,26.87,25.38,23.64
Coahuila ,13.04,15.63,20.05,23.47,26.77,28.22,28.16,28.82,25.36,22.39,17.64,13.87
Colima ,24.49,24.56,25.04,24.97,27.05,27.95,28.13,27.81,27.29,27.67,26.42,24.95
Chiapas ,22.72,24.09,25.03,26.45,27.08,25.93,25.79,25.63,25.47,24.55,23.83,22.18
Chihuahua ,10.43,12.42,16.02,19.99,22.96,26.38,25.17,25.08,23.40,19.23,14.35,10.64
Ciudad de México ,14.47,16.59,18.53,19.60,20.47,19.50,18.62,18.76,18.31,17.32,15.93,14.64
Durango ,11.63,13.84,17.10,19.55,22.03,23.95,22.71,22.78,20.90,18.67,14.79,11.88
Guanajuato ,14.62,16.62,19.39,21.47,22.78,21.95,20.78,20.65,20.79,18.81,16.78,15.06
Guerrero ,23.29,24.22,25.59,26.47,27.42,26.32,25.79,25.47,24.61,25.24,24.56,23.36
Hidalgo ,14.43,16.40,18.51,20.59,21.66,20.71,20.06,20.09,19.54,17.88,16.20,14.59
Jalisco ,16.82,18.61,20.78,22.09,24.16,24.25,23.00,22.86,22.47,21.32,19.22,17.52
Estado de México ,11.24,13.22,15.29,16.45,17.49,16.72,15.99,15.80,15.48,14.30,13.10,12.20
Michoacán ,16.33,17.83,20.28,22.22,23.19,22.36,21.45,21.15,20.94,20.04,18.33,16.78
Morelos ,18.69,20.80,23.54,24.58,25.01,23.58,22.41,22.15,21.96,21.25,20.40,18.92
Nayarit ,21.42,22.42,23.63,24.89,27.17,28.78,28.07,28.04,27.88,27.70,25.26,22.06
Nuevo León ,14.14,16.53,20.72,23.50,26.53,27.71,27.54,28.47,26.14,22.67,18.43,14.97
Oaxaca ,21.00,22.79,24.26,25.86,26.81,25.21,24.83,24.76,24.49,23.80,22.74,21.06
Puebla ,14.50,16.49,18.50,20.18,20.92,20.10,19.40,19.38,19.05,17.78,16.58,15.14
Querétaro ,15.07,17.24,19.76,21.99,23.42,21.97,21.31,21.41,20.62,19.08,17.18,15.50
Quintana Roo ,23.89,25.31,26.04,28.22,29.10,29.02,29.33,29.37,29.08,27.52,25.91,24.28
San Luis Potosí ,17.23,19.39,22.70,25.59,27.44,27.16,26.53,26.78,26.32,23.48,20.51,17.80
Sinaloa ,19.65,20.24,22.14,24.25,27.01,29.98,30.25,29.86,28.62,27.91,23.75,19.88
Sonora ,14.64,15.07,18.04,21.46,24.44,29.41,30.58,30.36,28.84,24.16,18.63,14.38
Tabasco ,22.81,24.69,26.30,28.48,29.73,28.79,28.77,28.39,27.95,26.77,25.20,23.32
Tamaulipas ,17.21,18.90,22.87,25.86,28.28,29.17,29.09,29.77,28.13,24.94,21.06,18.14
Tlaxcala ,11.60,13.57,15.48,16.73,17.57,16.85,16.15,16.20,15.98,14.79,13.43,12.11
Veracruz ,18.40,20.12,22.33,24.79,26.20,25.65,25.12,25.00,24.66,23.03,21.01,19.12
Yucatán ,22.53,24.50,25.78,28.51,29.25,28.64,28.39,28.35,28.18,26.41,24.58,22.88
Zacatecas ,12.25,14.34,17.35,19.10,21.36,21.76,20.31,20.33,19.30,17.57,14.93,12.77
