Entidad ,Ene,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic ,Anual
Aguascalientes ,12.48,14.43,17.32,19.55,21.72,22.00,20.53,20.51,19.83,17.65,15.29,13.38,
Baja California ,14.15,13.01,15.43,17.74,19.81,23.78,26.59,27.63,25.93,21.65,16.17,13.19,
Baja California Sur ,17.53,17.78,19.55,21.39,23.23,25.73,28.43,29.35,28.80,25.93,21.23,17.92,
Campeche ,22.86,24.69,26.18,29.19,30.20,29.00,28.63,28.39,28.15,26.42,25.26,23.07,
Coahuila ,12.58,14.92,19.73,23.73,26.87,28.38,27.84,28.66,24.94,22.33,17.57,13.54,
Colima ,23.88,24.08,24.53,25.25,26.98,27.72,27.50,27.35,26.57,27.34,25.80,24.29,
Chiapas ,22.17,23.70,24.68,26.58,27.18,25.95,25.58,25.30,25.27,24.04,23.50,21.71,
Chihuahua ,10.09,11.78,15.86,19.47,22.63,26.29,24.98,24.87,24.22,19.11,13.84,10.58,
Ciudad de México ,14.21,16.23,18.19,19.62,20.84,19.63,18.40,18.68,18.09,16.88,15.64,14.03,
Durango ,11.19,12.99,16.50,19.28,21.94,23.99,22.59,22.70,20.97,18.43,14.31,11.61,
Guanajuato ,14.31,16.11,18.87,21.15,22.98,22.18,20.83,20.66,21.53,18.22,16.42,14.79,
Guerrero ,22.97,24.08,25.26,26.53,27.69,26.47,25.48,25.16,23.77,25.22,24.44,22.91,
Hidalgo ,14.18,15.88,17.97,20.48,21.66,20.51,19.51,19.63,19.03,17.03,15.69,14.04,
Jalisco ,16.42,18.09,20.34,22.02,24.23,24.28,22.88,22.75,22.48,21.01,18.77,17.48,
Estado de México ,10.92,12.83,14.88,16.44,17.79,16.71,15.75,15.51,14.97,13.69,12.79,11.70,
Michoacán ,15.63,16.96,19.40,22.38,23.04,22.18,21.09,20.88,20.63,19.33,17.66,16.23,
Morelos ,18.29,20.31,23.15,24.43,25.33,23.72,22.33,21.96,21.87,21.12,20.24,18.43,
Nayarit ,21.03,21.83,23.34,24.81,27.05,28.67,27.87,27.83,27.84,27.47,24.67,21.65,
Nuevo León ,13.63,15.90,20.35,23.48,26.88,27.97,27.39,28.51,26.38,22.52,18.43,14.61,
Oaxaca ,20.85,22.53,24.10,26.18,27.33,25.54,24.85,24.68,24.28,23.46,22.66,20.77,
Puebla ,13.98,15.90,17.94,19.98,20.96,20.00,19.20,19.20,18.73,17.28,16.26,14.68,
Querétaro ,14.67,16.31,18.74,21.48,23.13,21.69,21.03,21.03,20.10,18.40,16.60,15.26,
Quintana Roo ,23.58,24.82,25.42,28.13,29.07,28.85,29.00,29.14,28.95,27.05,25.76,23.82,
San Luis Potosí ,16.71,18.28,22.14,25.56,27.43,26.97,25.98,26.43,26.68,22.92,20.20,17.28,
Sinaloa ,19.33,19.72,22.10,23.99,26.66,29.67,30.03,29.62,28.02,27.70,23.04,19.29,
Sonora ,14.22,14.68,18.14,21.18,23.98,29.11,30.43,30.11,28.92,24.03,17.84,14.10,
Tabasco ,22.41,24.05,25.60,28.73,29.73,28.79,28.27,27.97,27.53,26.23,24.90,22.56,
Tamaulipas ,16.70,17.97,22.29,25.83,28.24,29.09,28.67,29.47,28.01,24.60,21.04,17.74,
Tlaxcala ,11.35,13.21,14.94,16.75,17.68,16.81,16.03,16.16,15.73,14.30,13.09,11.66,
Veracruz ,18.22,19.59,21.95,25.02,26.47,25.78,25.05,25.06,24.60,22.80,21.08,18.82,
Yucatán ,22.27,23.90,25.14,28.43,29.32,28.65,28.12,28.09,27.97,25.80,24.48,22.28,
Zacatecas ,11.81,13.60,16.65,18.93,21.40,21.82,20.17,20.25,19.28,17.06,14.41,12.58,
