Entidad ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic ,Anual
Aguascalientes ,12.9,14.9,17.9,19.4,20.5,19.8,18.9,19.2,18.7,,,,
Baja California ,13.6,14.4,14.1,18,20.5,24.4,27.4,27,26.4,,,,
Baja California Sur ,17.3,18.2,19,21.9,23.8,26.9,28.2,29.1,27.7,,,,
Campeche ,24.1,25.2,27.4,29.6,29.8,29.2,29,28.8,28.7,,,,
Coahuila ,13.5,15.5,19.8,23,26.2,28.1,27.5,27.8,26.6,,,,
Colima ,24.8,24.2,24.9,25.5,27.2,28.2,28.6,28.1,27.7,,,,
Chiapas ,23.9,24,25.4,27,26.7,26,26.2,26,25.4,,,,
Chihuahua ,9.9,13.4,15.4,19.3,22.8,26.5,24.5,24.5,23,,,,
Ciudad de México ,15.3,16.3,18.9,19.6,19.7,18.5,18.9,19.1,18.5,,,,
Durango ,11.8,15,17.2,19.7,22,23.2,21.7,21.8,21,,,,
Guanajuato ,15.5,17,20.1,21.6,22.1,20.5,20.2,20.3,19.7,,,,
Guerrero ,24,24,26.1,26.9,27.5,25.4,26.1,25.5,25.3,,,,
Hidalgo ,15.4,16.9,19.5,20.8,21.7,20.2,19.9,20,19.8,,,,
Jalisco ,17.5,19.3,21.2,22.8,23.9,23.6,23.1,23.1,22.6,,,,
Estado de México ,12.4,13.2,16.2,16.9,17.1,16.1,15.8,15.8,15.5,,,,
Michoacán ,17.5,18.1,21,21.8,22.3,21.5,21.4,21.2,21.1,,,,
Morelos ,19.7,20.7,23.7,24.8,24.5,22.6,22.4,22.4,22.2,,,,
Nayarit ,20.7,22.4,22.8,25.4,27.1,28.1,27.9,27.9,27.3,,,,
Nuevo León ,14.9,16.3,20.8,24.1,26,26.9,26.4,27.5,26.4,,,,
Oaxaca ,20.8,21.9,23.7,25.3,25.6,24,24.6,24.3,23.9,,,,
Puebla ,16,16.8,19.3,20.9,20.7,19.5,19.4,19.3,19.1,,,,
Querétaro ,16.5,17.7,20.7,23,23,21.8,21.5,21.5,21.2,,,,
Quintana Roo ,24.6,25.5,26.5,28.5,29.3,29,29.4,29.3,29.1,,,,
San Luis Potosí ,18.6,19.7,23.6,26.5,27.1,26.2,25.9,26.2,25.3,,,,
Sinaloa ,19.2,20.5,21.4,24.6,27.6,30.6,30.2,30.1,29.4,,,,
Sonora ,14.2,16,17.1,21.9,24.9,30.4,30.7,30.6,29,,,,
Tabasco ,24.2,25,27.3,29.5,29.4,28.8,29.2,28.9,28.6,,,,
Tamaulipas ,18.4,18.3,23,26.3,28.2,28.7,28.6,29.7,28.5,,,,
Tlaxcala ,12.6,13,16.2,16.8,16.9,16,15.8,15.9,15.8,,,,
Veracruz ,19,19.9,22.5,24.9,25.8,25.1,24.9,24.7,24.7,,,,
Yucatán ,23.3,24.7,26.6,29.1,29.5,28.6,28.9,28.6,28.4,,,,
Zacatecas ,13,15.5,18.2,19.9,21.6,21.2,20,20.2,19.5,,,,
