"semestre","carrera","promedio","edad","peso","estatura","genero"
12,"SISTEMAS",79.84,22,75,171,"M"
13,"SISTEMAS",82.55,21,83,184,"F"
10,"SISTEMAS",95.16,20,77,176,"M"
13,"SISTEMAS",79.32,17,81,152,"F"
10,"SISTEMAS",92.67,21,75,180,"M"
10,"SISTEMAS",91.25,22,80,165,"M"
13,"SISTEMAS",82.46,19,82,158,"M"
11,"SISTEMAS",83.72,21,82,186,"F"
11,"SISTEMAS",85.37,19,70,185,"F"
10,"SISTEMAS",85.12,20,68,174,"M"
12,"SISTEMAS",78.22,19,64,171,"F"
10,"SISTEMAS",91.25,20,70,178,"M"
11,"SISTEMAS",84.59,21,84,180,"F"
10,"SISTEMAS",89.16,18,64,169,"F"
13,"SISTEMAS",82.51,21,88,164,"F"
12,"SISTEMAS",81.58,19,78,184,"F"
12,"SISTEMAS",82.63,21,82,157,"M"
12,"SISTEMAS",87.18,20,63,198,"M"
10,"SISTEMAS",89.55,21,63,180,"M"
9,"SISTEMAS",86.27,20,63,166,"M"
12,"SISTEMAS",84.02,21,44,174,"M"
10,"SISTEMAS",82.23,23,77,184,"F"
14,"SISTEMAS",83.37,22,106,185,"F"
10,"SISTEMAS",92.67,21,93,174,"M"
11,"SISTEMAS",82.75,22,62,169,"F"
10,"SISTEMAS",95.94,19,77,170,"M"
10,"SISTEMAS",91.27,20,69,173,"M"
10,"SISTEMAS",89.33,21,88,176,"M"
11,"SISTEMAS",86.02,21,61,163,"M"
10,"SISTEMAS",83.45,21,77,166,"M"
11,"SISTEMAS",80.81,23,69,205,"M"
11,"SISTEMAS",78.33,20,75,169,"F"
10,"SISTEMAS",89.35,20,68,161,"M"
10,"SISTEMAS",83.76,22,66,180,"M"
12,"SISTEMAS",80.42,17,75,167,"F"
10,"SISTEMAS",94.43,20,91,189,"F"
12,"SISTEMAS",83.29,22,62,160,"M"
10,"SISTEMAS",87.72,16,72,165,"F"
12,"SISTEMAS",85.25,21,63,169,"M"
10,"SISTEMAS",93.16,19,75,185,"F"
11,"SISTEMAS",81.88,23,83,151,"F"
11,"SISTEMAS",80.86,23,73,187,"M"
13,"SISTEMAS",82.24,21,67,162,"M"
10,"SISTEMAS",87.78,20,58,185,"F"
2,"SISTEMAS",81.6,23,88,176,"F"
2,"SISTEMAS",84.83,21,74,155,"F"
9,"SISTEMAS",83.71,21,65,185,"M"
4,"SISTEMAS",90.44,18,84,166,"F"
8,"SISTEMAS",90.79,21,68,172,"F"
9,"SISTEMAS",89.08,22,93,168,"F"
