"","X","estatura","peso","genero","genero_cat"
"1",1,174,65.6,1,"Mujer"
"2",2,175.3,71.8,1,"Mujer"
"3",3,193.5,80.7,1,"Mujer"
"4",4,186.5,72.6,1,"Mujer"
"5",5,187.2,78.8,1,"Mujer"
"6",6,181.5,74.8,1,"Mujer"
"7",7,184,86.4,1,"Mujer"
"8",8,184.5,78.4,1,"Mujer"
"9",9,175,62,1,"Mujer"
"10",10,184,81.6,1,"Mujer"
"11",11,180,76.6,1,"Mujer"
"12",12,177.8,83.6,1,"Mujer"
"13",13,192,90,1,"Mujer"
"14",14,176,74.6,1,"Mujer"
"15",15,174,71,1,"Mujer"
"16",16,184,79.6,1,"Mujer"
"17",17,192.7,93.8,1,"Mujer"
"18",18,171.5,70,1,"Mujer"
"19",19,173,72.4,1,"Mujer"
"20",20,176,85.9,1,"Mujer"
"21",21,176,78.8,1,"Mujer"
"22",22,180.5,77.8,1,"Mujer"
"23",23,172.7,66.2,1,"Mujer"
"24",24,176,86.4,1,"Mujer"
"25",25,173.5,81.8,1,"Mujer"
"26",26,178,89.6,1,"Mujer"
"27",27,180.3,82.8,1,"Mujer"
"28",28,180.3,76.4,1,"Mujer"
"29",29,164.5,63.2,1,"Mujer"
"30",30,173,60.9,1,"Mujer"
"31",31,183.5,74.8,1,"Mujer"
"32",32,175.5,70,1,"Mujer"
"33",33,188,72.4,1,"Mujer"
"34",34,189.2,84.1,1,"Mujer"
"35",35,172.8,69.1,1,"Mujer"
"36",36,170,59.5,1,"Mujer"
"37",37,182,67.2,1,"Mujer"
"38",38,170,61.3,1,"Mujer"
"39",39,177.8,68.6,1,"Mujer"
"40",40,184.2,80.1,1,"Mujer"
"41",41,186.7,87.8,1,"Mujer"
"42",42,171.4,84.7,1,"Mujer"
"43",43,172.7,73.4,1,"Mujer"
"44",44,175.3,72.1,1,"Mujer"
"45",45,180.3,82.6,1,"Mujer"
"46",46,182.9,88.7,1,"Mujer"
"47",47,188,84.1,1,"Mujer"
"48",48,177.2,94.1,1,"Mujer"
"49",49,172.1,74.9,1,"Mujer"
"50",50,167,59.1,1,"Mujer"
"51",51,169.5,75.6,1,"Mujer"
"52",52,174,86.2,1,"Mujer"
"53",53,172.7,75.3,1,"Mujer"
"54",54,182.2,87.1,1,"Mujer"
"55",55,164.1,55.2,1,"Mujer"
"56",56,163,57,1,"Mujer"
"57",57,171.5,61.4,1,"Mujer"
"58",58,184.2,76.8,1,"Mujer"
"59",59,174,86.8,1,"Mujer"
"60",60,174,72.2,1,"Mujer"
"61",61,177,71.6,1,"Mujer"
"62",62,186,84.8,1,"Mujer"
"63",63,167,68.2,1,"Mujer"
"64",64,171.8,66.1,1,"Mujer"
"65",65,182,72,1,"Mujer"
"66",66,167,64.6,1,"Mujer"
"67",67,177.8,74.8,1,"Mujer"
"68",68,164.5,70,1,"Mujer"
"69",69,192,101.6,1,"Mujer"
"70",70,175.5,63.2,1,"Mujer"
"71",71,171.2,79.1,1,"Mujer"
"72",72,181.6,78.9,1,"Mujer"
"73",73,167.4,67.7,1,"Mujer"
"74",74,181.1,66,1,"Mujer"
"75",75,177,68.2,1,"Mujer"
"76",76,174.5,63.9,1,"Mujer"
"77",77,177.5,72,1,"Mujer"
"78",78,170.5,56.8,1,"Mujer"
"79",79,182.4,74.5,1,"Mujer"
"80",80,197.1,90.9,1,"Mujer"
"81",81,180.1,93,1,"Mujer"
"82",82,175.5,80.9,1,"Mujer"
"83",83,180.6,72.7,1,"Mujer"
"84",84,184.4,68,1,"Mujer"
"85",85,175.5,70.9,1,"Mujer"
"86",86,180.6,72.5,1,"Mujer"
"87",87,177,72.5,1,"Mujer"
"88",88,177.1,83.4,1,"Mujer"
"89",89,181.6,75.5,1,"Mujer"
"90",90,176.5,73,1,"Mujer"
"91",91,175,70.2,1,"Mujer"
"92",92,174,73.4,1,"Mujer"
"93",93,165.1,70.5,1,"Mujer"
"94",94,177,68.9,1,"Mujer"
"95",95,192,102.3,1,"Mujer"
"96",96,176.5,68.4,1,"Mujer"
"97",97,169.4,65.9,1,"Mujer"
"98",98,182.1,75.7,1,"Mujer"
"99",99,179.8,84.5,1,"Mujer"
"100",100,175.3,87.7,1,"Mujer"
"101",101,184.9,86.4,1,"Mujer"
"102",102,177.3,73.2,1,"Mujer"
"103",103,167.4,53.9,1,"Mujer"
"104",104,178.1,72,1,"Mujer"
"105",105,168.9,55.5,1,"Mujer"
"106",106,157.2,58.4,1,"Mujer"
"107",107,180.3,83.2,1,"Mujer"
"108",108,170.2,72.7,1,"Mujer"
"109",109,177.8,64.1,1,"Mujer"
"110",110,172.7,72.3,1,"Mujer"
"111",111,165.1,65,1,"Mujer"
"112",112,186.7,86.4,1,"Mujer"
"113",113,165.1,65,1,"Mujer"
"114",114,174,88.6,1,"Mujer"
"115",115,175.3,84.1,1,"Mujer"
"116",116,185.4,66.8,1,"Mujer"
"117",117,177.8,75.5,1,"Mujer"
"118",118,180.3,93.2,1,"Mujer"
"119",119,180.3,82.7,1,"Mujer"
"120",120,177.8,58,1,"Mujer"
"121",121,177.8,79.5,1,"Mujer"
"122",122,177.8,78.6,1,"Mujer"
"123",123,177.8,71.8,1,"Mujer"
"124",124,177.8,116.4,1,"Mujer"
"125",125,163.8,72.2,1,"Mujer"
"126",126,188,83.6,1,"Mujer"
"127",127,198.1,85.5,1,"Mujer"
"128",128,175.3,90.9,1,"Mujer"
"129",129,166.4,85.9,1,"Mujer"
"130",130,190.5,89.1,1,"Mujer"
"131",131,166.4,75,1,"Mujer"
"132",132,177.8,77.7,1,"Mujer"
"133",133,179.7,86.4,1,"Mujer"
"134",134,172.7,90.9,1,"Mujer"
"135",135,190.5,73.6,1,"Mujer"
"136",136,185.4,76.4,1,"Mujer"
