palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,Region,Area
41.3,22.6,33.2,72.2,21.9,47.2,56.3,48.2,North Apulia,South
62.7,46.8,35,47.3,37.6,55.6,56.3,53.6,Calabria,South
75,63.4,19.7,35.9,55.4,34.7,42.7,30.4,South Apulia,South
54.4,44.5,33.6,53.3,36.8,47.2,65,58.9,Sicily,South
46.1,39.6,31.4,46.1,65,56.9,93.2,0,Inland Sardinia,Sardinia
46.7,31.3,44.4,38.9,84.7,25,57.3,0,Coast Sardinia,Sardinia
60.4,17,48.4,59.2,21.7,94.4,95.1,0,East Liguria,North
51.6,50.9,61.9,49.3,56,0,7.8,0,West Liguria,North
42.2,20.8,12.6,78.4,15.4,25,46.6,0,Umbria,North
42.5,21.9,32.3,66.8,32.6,40.3,57.3,48.2,North Apulia,South
26.8,14.7,42.2,85.9,9.9,40.3,59.2,48.2,North Apulia,South
31.6,15.8,39.5,78.3,16.7,66.7,73.8,58.9,North Apulia,South
39.2,19.6,48,69.7,21.9,66.7,75.7,78.6,North Apulia,South
26.8,12.8,52,77,22.5,68.1,66,75,North Apulia,South
27.7,19.2,50.2,80.1,16.6,65.3,52.4,48.2,North Apulia,South
43.6,17.4,37.2,67.7,28,51.4,60.2,58.9,North Apulia,South
42,17,39,68.5,25.5,61.1,78.6,55.4,North Apulia,South
38,15.1,27.4,77.9,18.1,33.3,48.5,50,North Apulia,South
39.2,7.5,30,79.5,15.4,26.4,61.2,39.3,North Apulia,South
37.9,16.6,37.2,74.3,20.8,38.9,58.3,75,North Apulia,South
41.2,20.8,27.8,67.7,29.3,66.7,74.8,55.4,North Apulia,South
23.6,14,40.8,81.4,20.3,54.2,74.8,53.6,North Apulia,South
30.4,12.8,45.7,70.9,32.5,66.7,70.9,69.6,North Apulia,South
48.4,31.3,22,61.9,36,41.7,56.3,48.2,North Apulia,South
29.6,29.8,13.9,73,33.3,55.6,70.9,51.8,North Apulia,South
59.4,20.4,23.8,49.5,49.8,59.7,66,46.4,North Apulia,South
31.2,20.8,19.3,78.6,28.8,61.1,70.9,50,North Apulia,South
30.4,23.4,47.5,72,28.2,56.9,73.8,55.4,North Apulia,South
41.2,19.6,37.7,66,26.2,75,78.6,76.8,North Apulia,South
34.2,11.7,61,71.4,22.6,75,81.6,67.9,North Apulia,South
39.6,14.3,42.6,66.5,24.7,72.2,84.5,87.5,North Apulia,South
40.4,9.1,36.8,74.7,25,55.6,69.9,42.9,North Apulia,South
40.4,11.3,41.7,70.1,24.3,62.5,77.7,64.3,North Apulia,South
63.2,45.7,29.1,41.4,49.1,56.9,59.2,50,Calabria,South
66.6,37.7,42.2,44.3,41.7,59.7,59.2,28.6,Calabria,South
68.3,36.2,53.8,39.2,48.1,61.1,60.2,37.5,Calabria,South
60.9,35.5,41.7,45.2,44.5,56.9,58.3,64.3,Calabria,South
59.1,40,28.3,46.7,43.4,52.8,64.1,69.6,Calabria,South
64.5,39.6,74.4,37.1,45.7,66.7,66,64.3,Calabria,South
62.1,40.4,39.9,45.4,41.3,61.1,68,58.9,Calabria,South
64.9,37.4,16.6,49.1,36.4,63.9,68,33.9,Calabria,South
61.2,38.1,45.3,47.8,36.7,52.8,65,44.6,Calabria,South
54.3,34.7,30.9,54.1,34.2,72.2,66,46.4,Calabria,South
56.4,21.5,58.7,51.9,37.3,58.3,63.1,46.4,Calabria,South
60,43,41.3,48.5,36.3,76.4,61.2,60.7,Calabria,South
56.7,34.7,72.2,47.3,38.4,61.1,62.1,55.4,Calabria,South
66.3,34.3,37.7,43.1,40.9,63.9,70.9,60.7,Calabria,South
57.8,32.8,34.1,50,41.3,65.3,60.2,46.4,Calabria,South
57.9,40,71.7,44.5,42,62.5,61.2,41.1,Calabria,South
61.7,41.1,57,40.8,47,63.9,57.3,62.5,Calabria,South
65.2,38.5,60.5,39.3,43.9,68.1,61.2,69.6,Calabria,South
63.4,30.6,66.4,49.8,30.2,62.5,50.5,42.9,Calabria,South
60.6,38.5,28.3,49.8,38.3,63.9,57.3,53.6,Calabria,South
57.2,38.9,41.3,51.8,33.1,61.1,67,39.3,Calabria,South
62.4,43.8,48,41.1,48,54.2,65,32.1,Calabria,South
53.6,35.5,66.8,45.5,46.7,62.5,61.2,51.8,Calabria,South
66.6,31.3,89.2,45.6,32.5,54.2,52.4,25,Calabria,South
58.3,30.9,49.8,53.8,28.9,59.7,65,48.2,Calabria,South
61.2,31.7,71.3,47.9,33.2,59.7,63.1,37.5,Calabria,South
58.8,38.1,57,45.4,41.5,56.9,68,44.6,Calabria,South
59.4,27.2,80.7,51.1,31.6,58.3,49.5,39.3,Calabria,South
51,36.6,71.3,51.7,36.3,63.9,53.4,46.4,Calabria,South
68.6,35.8,52,44.6,37.2,51.4,56.3,50,Calabria,South
50.9,49.4,62.8,60.7,16.6,50,47.6,37.5,Calabria,South
57.9,52.1,30,50,36.2,69.4,66,42.9,Calabria,South
52.3,45.7,39,63.5,18.1,34.7,51.5,30.4,Calabria,South
54.7,44.9,35.9,64.4,16.4,47.2,45.6,42.9,Calabria,South
64.8,57,25.1,42.2,46.5,52.8,65,41.1,Calabria,South
46.4,53.6,39.5,63.6,18.6,59.7,56.3,51.8,Calabria,South
68.5,63.4,41.7,51.4,15.8,62.5,66,41.1,Calabria,South
71,42.6,47.1,45.4,30.4,56.9,53.4,25,Calabria,South
61.9,42.3,43.9,45.2,41.2,62.5,64.1,39.3,Calabria,South
67.7,39.6,43.9,50,24.9,58.3,64.1,46.4,Calabria,South
64.5,37,40.4,47.1,39.8,50,56.3,28.6,Calabria,South
70.3,51.3,38.6,40.9,40,59.7,68,60.7,Calabria,South
69.3,39.2,36.8,44.4,36.7,52.8,58.3,69.6,Calabria,South
73.1,51.7,57.8,34.5,49,51.4,51.5,41.1,Calabria,South
71.3,41.1,65.5,41.8,33.5,59.7,64.1,46.4,Calabria,South
67.2,49.8,62.3,42.5,32.8,68.1,66,57.1,Calabria,South
68.7,38.9,54.3,46.5,28.4,59.7,64.1,48.2,Calabria,South
59.8,32.8,49.8,52.1,30.8,72.2,61.2,46.4,Calabria,South
61,45.7,48.4,51.2,32.5,63.9,47.6,28.6,Calabria,South
60.2,35.1,60.5,49.4,37,58.3,40.8,37.5,Calabria,South
65.9,54.3,64.6,44,35.4,47.2,56.3,35.7,Calabria,South
56.1,30.9,52,56.8,25.5,69.4,65,60.7,Calabria,South
58.4,32.5,66.4,44.1,44,100,61.2,57.1,Calabria,South
55.6,46.4,44.8,48.4,40.4,72.2,62.1,60.7,Calabria,South
57.3,33.2,31.8,51.9,39.1,62.5,52.4,50,Calabria,South
91.5,59.2,80.3,10,66.1,61.1,86.4,53.6,Sicily,South
65.3,44.5,53.8,23.7,73,63.9,78.6,62.5,Sicily,South
64.8,58.5,55.2,25.5,59.9,61.1,83.5,73.2,Sicily,South
51.9,45.3,49.8,46.3,43.2,58.3,90.3,69.6,Sicily,South
44.6,20,100,69.7,0,69.4,65,76.8,Sicily,South
54.4,20.8,79.4,61.8,11.5,63.9,63.1,73.2,Sicily,South
46.8,21.5,84.8,62.4,20.8,65.3,61.2,53.6,Sicily,South
28.1,9.8,56.1,71.8,32.9,59.7,61.2,41.1,Sicily,South
44,20.4,99.1,67,8.2,68.1,64.1,62.5,Sicily,South
44.4,24.2,68.6,60.5,30.8,59.7,60.2,60.7,Sicily,South
59.9,29.4,50.7,44.3,43.5,56.9,72.8,78.6,Sicily,South
45.3,20.4,56.1,52.9,48.7,55.6,55.3,60.7,Sicily,South
27.2,14,57.8,74.4,24.1,55.6,60.2,100,Sicily,South
26.2,12.8,61,68.6,35.6,65.3,67,96.4,Sicily,South
53,15.1,60.5,48.8,47.7,58.3,69.9,71.4,Sicily,South
75.3,63,51.6,34.1,40.6,54.2,79.6,62.5,Sicily,South
63.7,47.2,18.4,48.7,36.7,47.2,82.5,58.9,Sicily,South
61.6,32.1,44.4,35.3,58.8,52.8,81.6,67.9,Sicily,South
74.1,60.4,48,27.3,56.7,44.4,73.8,53.6,Sicily,South
79.6,86,33.2,31.4,40.1,38.9,68,44.6,Sicily,South
72.8,55.5,31.8,29.2,58,48.6,72.8,67.9,Sicily,South
78.3,55.5,26.5,32.9,47,48.6,92.2,64.3,Sicily,South
69.6,42.6,26.5,42.1,41.3,50,88.3,67.9,Sicily,South
70.6,44.9,26,38.4,46.5,52.8,96.1,73.2,Sicily,South
54.4,43.4,27.8,50.9,39.9,50,84.5,76.8,Sicily,South
48.3,22.3,73.5,61.3,25.1,55.6,60.2,53.6,Sicily,South
49.7,23,69.5,59.4,27.4,56.9,65,53.6,Sicily,South
67.5,33.6,38.1,50.9,32,51.4,66,23.2,Sicily,South
34,16.2,51.6,68.4,31.8,54.2,58.3,75,Sicily,South
32.9,14.3,45.7,67.3,35.9,58.3,65,80.4,Sicily,South
31.7,15.1,54.3,66,37.7,59.7,59.2,80.4,Sicily,South
46,21.9,90.6,58.2,27.4,58.3,71.8,64.3,Sicily,South
51.4,26.4,54.3,54.3,35.8,58.3,68.9,71.4,Sicily,South
57.5,30.2,42.6,52.4,35.6,56.9,66,58.9,Sicily,South
58,27.5,66.8,55.5,25,56.9,67,51.8,Sicily,South
38.4,45.3,26,51,65.4,45.8,85.4,0,Inland Sardinia,Sardinia
43.8,30.6,26,51.2,62.3,41.7,89.3,0,Inland Sardinia,Sardinia
45.2,30.9,30.9,46.4,69.1,45.8,89.3,0,Inland Sardinia,Sardinia
39.3,30.2,28.3,51.6,66.3,40.3,87.4,0,Inland Sardinia,Sardinia
45,32.8,35.4,46.9,70.5,33.3,62.1,0,Inland Sardinia,Sardinia
44.3,44.2,35.4,48.3,63.9,25,62.1,0,Inland Sardinia,Sardinia
46.1,35.1,26.9,51.5,61.3,36.1,58.3,0,Inland Sardinia,Sardinia
42.2,28.7,31.8,51.4,66.3,36.1,58.3,0,Inland Sardinia,Sardinia
43.9,33.2,36.3,48.4,68.4,34.7,57.3,0,Inland Sardinia,Sardinia
43.4,27.5,26.9,49.2,67.7,36.1,63.1,0,Inland Sardinia,Sardinia
44.3,29.1,35.4,50.6,64.8,37.5,58.3,0,Inland Sardinia,Sardinia
41.3,33.2,24.7,52.7,63.4,41.7,64.1,0,Inland Sardinia,Sardinia
39.9,30.6,34.1,51.5,66.5,31.9,68,0,Inland Sardinia,Sardinia
